Date,Team1,Score1,Wkt1,Team2,Score2,Wkt2,Toss Winner,Toss Decision,Winner
2012-06-30,New Zealand,189,2,West Indies,189,9,New Zealand,field,West Indies
2012-07-01,New Zealand,172,5,West Indies,172,10,West Indies,bat,West Indies
2012-07-18,Ireland,180,5,Bangladesh,180,8,Ireland,field,Bangladesh
2012-07-25,Netherlands,135,7,Bangladesh,135,2,Netherlands,bat,Bangladesh
2012-07-26,Netherlands,125,10,Bangladesh,125,9,Bangladesh,bat,Netherlands
2012-08-07,Sri Lanka,145,3,India,145,10,Sri Lanka,field,India
2012-09-05,Australia,80,10,Pakistan,80,3,Pakistan,field,Pakistan
2012-09-07,Australia,148,4,Pakistan,148,8,Pakistan,bat,NaN
2012-09-08,England,113,7,South Africa,113,3,South Africa,field,South Africa
2012-09-10,England,70,5,South Africa,70,2,England,field,NaN
2012-09-10,Australia,158,7,Pakistan,158,10,Pakistan,field,Australia
2012-09-11,India,164,5,New Zealand,164,4,India,field,New Zealand
2012-09-12,England,103,5,South Africa,103,5,South Africa,field,England
2012-09-18,Sri Lanka,162,4,Zimbabwe,162,10,Zimbabwe,field,Sri Lanka
2012-09-19,Afghanistan,143,5,India,143,10,Afghanistan,field,India
2012-09-19,Australia,119,7,Ireland,119,3,Ireland,bat,Australia
2012-09-20,South Africa,85,8,Zimbabwe,85,0,South Africa,field,South Africa
2012-09-21,Afghanistan,184,5,England,184,10,Afghanistan,field,England
2012-09-21,Bangladesh,183,3,New Zealand,183,8,Bangladesh,field,New Zealand
2012-09-22,Australia,178,8,West Indies,178,1,West Indies,bat,Australia
2012-09-22,Sri Lanka,75,4,South Africa,75,5,Sri Lanka,field,South Africa
2012-09-23,England,158,4,India,158,10,England,field,India
2012-09-23,New Zealand,171,6,Pakistan,171,9,Pakistan,bat,Pakistan
2012-09-24,Ireland,124,6,West Indies,124,0,West Indies,field,NaN
2012-09-25,Bangladesh,164,6,Pakistan,164,2,Bangladesh,bat,Pakistan
2012-09-27,Sri Lanka,165,7,New Zealand,165,6,New Zealand,bat,NaN
2012-09-27,England,170,5,West Indies,170,4,West Indies,bat,West Indies
2012-09-28,Pakistan,129,6,South Africa,129,8,South Africa,bat,Pakistan
2012-09-28,Australia,130,7,India,130,1,India,bat,Australia
2012-09-29,Sri Lanka,125,5,West Indies,125,1,West Indies,bat,Sri Lanka
2012-09-29,England,133,6,New Zealand,133,4,New Zealand,bat,England
2012-09-30,Australia,137,5,South Africa,137,2,Australia,field,Australia
2012-09-30,India,116,10,Pakistan,116,2,Pakistan,bat,India
2012-10-01,Sri Lanka,157,6,England,157,9,England,field,Sri Lanka
